Sector	count	mean
Communication Services	16	65.4
Energy	22	86.8
Financials	69	95.2
Consumer Discretionary	50	98.7
Consumer Staples	35	103.2
Materials	28	118.3
Utilities	28	133.0
Health Care	57	138.7
Industrials	74	225.9
Information Technology	60	292.2
Real Estate	31	5118.1
